date,predicted_price,change_percent,recommendation
2025-03-13,666.9041,189.22894807597842,BUY
2025-03-14,620.3648,169.04536482025262,BUY
2025-03-17,679.70325,194.77979081999018,BUY
2025-03-18,613.73645,166.17071962944794,BUY
2025-03-19,626.2245,171.58664339135552,BUY
