timestamp,action,price,shares,amount,fee,capital_after,shares_after,portfolio_value
2024-06-17,hold,0.98150143162291,0,0.0,0.0,3142.932049855308,3924,6994.343667543607
2024-06-18,hold,0.9134463825674283,0,0.0,0.0,3142.932049855308,3924,6727.295655049897
2024-06-20,hold,0.8794188580396874,0,0.0,0.0,3142.932049855308,3924,6593.771648803042
2024-06-21,hold,0.8523783573166478,0,0.0,0.0,3142.932049855308,3924,6487.664723965834
2024-06-24,hold,0.7405865302748343,0,0.0,0.0,3142.932049855308,3924,6048.993594653758
2024-06-25,hold,0.7590975811546024,0,0.0,0.0,3142.932049855308,3924,6121.630958305967
2024-06-26,hold,0.8796910671592412,0,0.0,0.0,3142.932049855308,3924,6594.83979738817
2024-06-27,hold,0.8766059381653971,0,0.0,0.0,3142.932049855308,3924,6582.733751216327
2024-06-28,hold,0.7965731340161417,0,0.0,0.0,3142.932049855308,3924,6268.6850277346475
2024-07-01,hold,0.7911288131667142,0,0.0,0.0,3142.932049855308,3924,6247.321512721494
2024-07-02,hold,0.8420339953985487,0,0.0,0.0,3142.932049855308,3924,6447.073447799214
2024-07-03,hold,0.7401329407144792,0,0.0,0.0,3142.932049855308,3924,6047.213709218924
2024-07-05,hold,0.6777944216279788,0,0.0,0.0,3142.932049855308,3924,5802.597360323496
2024-07-08,hold,0.6401373498672862,0,0.0,0.0,3142.932049855308,3924,5654.831010734539
2024-07-09,hold,0.6480316912510495,0,0.0,0.0,3142.932049855308,3924,5685.808406324426
2024-07-10,hold,0.5805210604346754,0,0.0,0.0,3142.932049855308,3924,5420.896691000975
2024-07-11,hold,0.5772544125416782,0,0.0,0.0,3142.932049855308,3924,5408.078364668853
2024-07-12,hold,0.4677312255933992,0,0.0,0.0,3142.932049855308,3924,4978.309379083807
2024-07-15,hold,0.46564424285736955,0,0.0,0.0,3142.932049855308,3924,4970.120058827626
2024-07-16,hold,0.354759802623794,0,0.0,0.0,3142.932049855308,3924,4535.009515351076
2024-07-17,hold,0.33479701592585637,0,0.0,0.0,3142.932049855308,3924,4456.6755403483685
2024-07-18,hold,0.2073071963369169,0,0.0,0.0,3142.932049855308,3924,3956.40548828137
2024-07-19,hold,0.24006436548728952,0,0.0,0.0,3142.932049855308,3924,4084.944620027432
2024-07-22,hold,0.3227285706116821,0,0.0,0.0,3142.932049855308,3924,4409.318960935549
2024-07-23,hold,0.33506922504541015,0,0.0,0.0,3142.932049855308,3924,4457.743688933498
2024-07-24,hold,0.198233189796186,0,0.0,0.0,3142.932049855308,3924,3920.799086615542
2024-07-25,hold,0.2485031943393363,0,0.0,0.0,3142.932049855308,3924,4118.058584442863
2024-07-26,hold,0.218558945063254,0,0.0,0.0,3142.932049855308,3924,4000.557350283517
2024-07-29,hold,0.24324025393071017,0,0.0,0.0,3142.932049855308,3924,4097.406806279415
2024-07-30,hold,0.983497724138539,0,0.0,0.0,3142.932049855308,3924,7002.1771193749355
2024-07-31,hold,1.1160689652369513,0,0.0,0.0,3142.932049855308,3924,7522.386669445105
2024-08-01,hold,1.0038235486347828,0,0.0,0.0,3142.932049855308,3924,7081.935654698196
2024-08-02,hold,1.10136911894764,0,0.0,0.0,3142.932049855308,3924,7464.7044726058475
2024-08-05,hold,1.083947043004439,0,0.0,0.0,3142.932049855308,3924,7396.340246604726
2024-08-06,hold,1.0572694416213537,0,0.0,0.0,3142.932049855308,3924,7291.6573387775
2024-08-07,hold,0.9495608898311988,0,0.0,0.0,3142.932049855308,3924,6869.008981552932
2024-08-08,hold,1.0120807893585007,0,0.0,0.0,3142.932049855308,3924,7114.3370672980645
2024-08-09,hold,0.9759662820947301,0,0.0,0.0,3142.932049855308,3924,6972.623740795028
2024-08-12,hold,0.9206149252712826,0,0.0,0.0,3142.932049855308,3924,6755.425016619821
2024-08-13,hold,0.8688022870020344,0,0.0,0.0,3142.932049855308,3924,6552.1122240512905
2024-08-14,hold,0.7864102909971957,0,0.0,0.0,3142.932049855308,3924,6228.806031728303
2024-08-15,hold,0.7911288131667142,0,0.0,0.0,3142.932049855308,3924,6247.321512721494
2024-08-16,hold,0.8005657190473996,0,0.0,0.0,3142.932049855308,3924,6284.351931397304
2024-08-19,hold,0.8802354853983487,0,0.0,0.0,3142.932049855308,3924,6596.9760945584285
2024-08-20,hold,0.8547375491722312,0,0.0,0.0,3142.932049855308,3924,6496.922192807144
2024-08-21,hold,0.8881299652404638,0,0.0,0.0,3142.932049855308,3924,6627.954033458887
2024-08-22,hold,0.8518339390775402,0,0.0,0.0,3142.932049855308,3924,6485.528426795576
2024-08-23,hold,0.9007428287937458,0,0.0,0.0,3142.932049855308,3924,6677.4469100419665
