date,price,capital,shares,portfolio_value
2024-08-07,1.0584345220689495,2743.0519396508716,2236.1893751957323,5109.911972241829
2024-08-08,0.9506942955130934,4847.725097509587,0.0,4847.725097509587
2024-08-09,1.0132325807965517,3333.7250975095867,1479.2852385596136,4832.585097509586
2024-08-12,0.9771074530338796,2356.7250975095867,2469.176367725387,4769.375729269186
2024-08-13,0.9217398185683184,4609.90389293796,0.0,4609.90389293796
2024-08-14,0.8699119433178811,3124.9038929379603,1689.998638704494,4595.05389293796
2024-08-15,0.7874957176012347,4442.461916762349,0.0,4442.461916762349
2024-08-16,0.7922156273865154,2767.4619167623487,2093.1801174769726,4425.711916762349
2024-08-19,0.8016553084580073,1730.4619167623487,3373.817804483292,4435.1008694965185
2024-08-20,0.881348503971643,1089.4619167623487,4093.839449882735,4697.561191416591
2024-08-21,0.8558430693515502,722.4619167623487,4518.368213403933,4589.476036982451
2024-08-22,0.889245305410281,472.46191676234866,4796.694113461182,4737.899638646834
2024-08-23,0.8529386053676563,315.46191676234866,4978.922938633191,4562.177504273175
2024-08-26,0.9018618781351303,4760.859701362902,0.0,4760.859701362902
2024-08-27,0.897686546690638,3193.8597013629023,1728.1421958689791,4745.189701362902
2024-08-28,0.8926943477349631,2137.8597013629023,2899.248524314543,4726.002471697428
2024-08-29,0.9133891556793338,1426.8597013629023,3669.883905327449,4778.891863091118
2024-08-30,0.8566599368627326,962.8597013629023,4206.106016615006,4566.062215994273
2024-09-03,0.9053109204598125,4732.615073721657,0.0,4732.615073721657
2024-09-04,0.8971419683498497,3180.6150737216567,1712.6386393740013,4717.095073721657
2024-09-05,0.9156583244319978,2127.6150737216567,2851.1309920172935,4738.276900608351
2024-09-06,0.8908790404326459,1437.6150737216567,3617.9017532513435,4660.7279160378
2024-09-09,0.8571137983130793,958.6150737216567,4171.165509981561,4533.778587374465
2024-09-10,0.6973644012249721,3838.3491886174174,0.0,3838.3491886174174
2024-09-11,0.716334618757467,2204.3491886174174,2258.24629669015,3822.0091886174177
2024-09-12,0.6933706420604323,1290.3491886174174,3563.262611357154,3761.01087328406
2024-09-13,0.6763064487206966,3676.108096338148,0.0,3676.108096338148
2024-09-16,0.613495874266844,2062.108096338148,2604.5162926474713,3659.968096338148
2024-09-17,0.6719496834953209,3794.710955855994,0.0,3794.710955855994
2024-09-18,0.7093455402195222,2117.710955855994,2340.509534304263,3777.9409558559937
2024-09-19,0.6868354249728343,1231.7109558559941,3617.5840242152817,3716.3958165028334
2024-09-20,0.6730388401768975,3642.137766197318,0.0,3642.137766197318
2024-09-23,0.6757618703799082,2035.137766197318,2354.2760693283735,3626.0677661973177
2024-09-24,0.6811170753964187,1141.137766197318,3653.700253467178,3629.735397214036
2024-09-25,1.6197359329890815,644.1377661973179,3957.4719917973894,7054.197355109422
2024-09-26,1.5470319545124598,526.1377661973179,4032.98432989697,6765.293396595951
